emp_no,fullname,from_date,salary,title
10001,Georgi Facello,1986-06-26,60117,Senior Engineer
10004,Chirstian Koblick,1995-12-01,40054,Senior Engineer
10005,Kyoichi Maliniak,1996-09-12,78228,Senior Staff
10006,Anneke Preusig,1990-08-05,40000,Senior Engineer
10009,Sumant Peac,1995-02-18,60929,Senior Engineer
10018,Kazuhide Peha,1995-04-03,55881,Senior Engineer
10019,Lillian Haddadi,1999-04-30,44276,Staff
10020,Mayuko Warwick,1997-12-30,40000,Engineer
10022,Shahaf Famili,1999-09-03,40000,Engineer
10023,Bojan Montemayor,1999-09-27,47883,Engineer
10026,Yongqiao Berztiss,2001-03-19,47585,Senior Engineer
10035,Alain Chappelet,1996-09-05,41538,Senior Engineer
10047,Zvonko Nyanchama,1998-03-31,54982,Senior Engineer
10051,Hidefumi Caine,1998-10-15,48817,Senior Engineer
10053,Sanjiv Zschoche,1994-11-13,67854,Senior Staff
10057,Ebbe Callaway,2000-01-15,49616,Senior Engineer
10058,Berhard McFarlin,1988-04-25,52787,Senior Staff
10059,Alejandro McAlpine,1991-06-26,71218,Senior Staff
10063,Gino Leonhardt,1989-04-08,40000,Senior Engineer
10066,Kwee Schusler,1998-02-25,69736,Senior Engineer
10067,Claudi Stavenow,1996-03-03,44642,Senior Engineer
10070,Reuven Garigliano,1985-10-14,55999,Technique Leader
10072,Hironoby Sidou,1995-05-21,40000,Senior Engineer
10076,Erez Ritzmann,1996-07-15,47319,Senior Engineer
10088,Jungsoon Syrzycki,1993-09-02,65957,Senior Staff
10091,Amabile Gomatam,2001-11-18,40000,Senior Engineer
10096,Jayson Mandell,1999-01-23,61395,Engineer
10097,Remzi Waschkowski,1996-09-14,44886,Senior Staff
10100,Hironobu Haraldson,1994-09-21,54398,Senior Staff
10103,Akemi Birch,1998-01-12,68158,Engineer
10106,Eben Aingworth,1997-10-26,62928,Senior Engineer
10126,Kayoko Valtorta,1991-09-08,40000,Senior Staff
10127,Subir Baja,1991-05-17,40000,Senior Engineer
10129,Armond Peir,1996-01-16,40000,Technique Leader
10130,Nishit Casperson,1988-06-21,40000,Senior Engineer
10134,Diederik Siprelle,1994-12-12,40000,Senior Engineer
10138,Perry Shimshoni,2001-03-03,53574,Senior Engineer
10150,Zhenbing Perng,1995-11-16,70122,Senior Engineer
10153,Heekeun Majewski,2000-01-08,54246,Assistant Engineer
10157,Nigel Aloisi,1997-12-10,48770,Senior Engineer
10159,Serif Buescher,1996-06-12,52881,Senior Engineer
10160,Debatosh Khasidashvili,2000-12-06,91622,Senior Staff
10163,Karsten Szmurlo,1992-02-02,41603,Senior Staff
10166,Samphel Siegrist,1996-09-02,51586,Engineer
10183,Mechthild Bonifati,1996-08-11,40000,Staff
10194,Josyula Hofmeyr,2002-02-14,64941,Senior Staff
10196,Marc Hellwagner,1999-01-31,86671,Staff
10198,Pranav Furedi,1993-08-31,44076,Senior Engineer
10203,Steen Escriba,1995-04-06,40000,Senior Staff
10205,Mabhin Leijenhorst,1993-08-23,40000,Senior Engineer
10207,Girolamo Anandan,1997-10-11,52783,Senior Engineer
10215,Xiaobin Duclos,1991-11-23,43944,Senior Staff
10219,Genta Kolvik,1993-03-31,40000,Senior Staff
10224,Leon Trogemann,1996-01-09,40000,Senior Engineer
10228,Karoline Cesareni,1998-12-22,79474,Senior Staff
10230,Clyde Vernadat,2002-06-16,47531,Senior Staff
10233,Lein Vendrig,2000-04-28,40000,Senior Staff
10239,Nikolaos Llado,1996-05-04,65146,Staff
10240,Remko Maccarone,1998-10-06,73874,Engineer
10248,Frederique Tempesti,1997-08-12,58918,Senior Staff
10249,Marie Boreale,2000-12-07,72192,Senior Engineer
10258,Basil Ishibashi,1997-05-16,66280,Senior Engineer
10262,Mahendra Maraist,1996-01-22,63005,Staff
10272,Yishai Cannane,1997-10-23,58070,Staff
10281,Moty Kusakari,2000-12-02,46123,Senior Engineer
10282,Hercules Benzmuller,2001-05-02,40000,Engineer
10283,Kauko Birjandi,1995-05-26,40000,Senior Engineer
10284,Masali Murrill,1999-07-06,40000,Engineer
10295,Kristine Velardi,2000-06-18,46398,Senior Staff
10298,Dietrich DuCasse,1999-04-27,40000,Staff
10306,Heng Kilgour,1993-09-06,44229,Staff
10307,Nikolaos Leaver,1999-10-16,40000,Engineer
10325,Arunachalam Badr,1990-09-20,44325,Senior Staff
10326,Masali Czap,1998-09-02,40000,Staff
10328,Serenella Kawashima,1998-07-17,46286,Engineer
10333,Snehasis Dymetman,1998-01-16,45141,Senior Engineer
10340,Djelloul Laventhal,1993-03-30,68132,Senior Staff
10343,Dinah Syrzycki,1997-10-03,40000,Senior Engineer
10347,Pradeep Kaminger,1998-02-20,42199,Staff
10349,Oksana Brodie,1997-09-27,47518,Senior Staff
10353,Phule Hammerschmidt,1989-08-24,62656,Senior Staff
10355,Satyanarayana Cochrane,1996-01-26,70434,Staff
10356,Vasilis Standera,1995-06-26,45376,Senior Staff
10358,Qunsheng Tagansky,1991-02-19,63243,Technique Leader
10364,Nakhoon Dengi,1985-11-14,51401,Senior Engineer
10367,Hyuckchul Gini,2000-06-23,63565,Senior Staff
10372,Anneli Frijda,1985-07-30,54505,Technique Leader
10377,Marl Grospietsch,1996-08-24,40000,Senior Engineer
10387,Parto Wrigley,1999-01-07,61374,Senior Staff
10388,Hironoby Kaiser,1999-05-28,62545,Staff
10389,Make Peir,1999-05-13,55548,Technique Leader
10396,Sibyl Rahier,1986-01-11,40393,Senior Engineer
10397,Irena Reutenauer,1993-05-21,40529,Technique Leader
10402,Volkmar Ebeling,1987-01-02,40000,Technique Leader
10404,Prodip Rosti,1996-08-28,51647,Senior Engineer
10407,Ulf Siepmann,1999-10-30,62565,Senior Staff
10413,Danel Impagliazzo,1997-12-26,45416,Senior Staff
10418,Candida Porotnikoff,1996-10-04,52224,Staff
10422,Greger Rubsam,1995-01-03,45725,Engineer
10426,Arunas Luce,1985-07-06,65757,Technique Leader
10429,Martien Improta,1988-09-23,40000,Senior Engineer
10432,Hisao Tiemann,1996-08-12,40000,Senior Staff
10433,Reuven Dengi,1999-11-27,40000,Engineer
10451,Bodh Ranta,1998-03-12,46275,Senior Engineer
10453,Tsvetan Matzel,1993-04-02,40000,Senior Staff
10463,Ung Zaiane,1994-02-17,66480,Staff
10477,Guoxiang Trogemann,2002-05-26,55138,Senior Engineer
10486,Amstein Kossowski,1996-10-07,71692,Senior Engineer
10494,Yakkov Servieres,2000-12-17,50094,Senior Engineer
10497,Pramod Rabehasaina,1999-01-22,63707,Senior Engineer
10499,Maik Luft,2001-07-31,40000,Senior Staff
10503,Dannz Pell,1997-03-13,40000,Engineer
10504,Xiong Varker,1999-10-19,43931,Staff
10509,Abdelwaheb Riesenhuber,1997-10-06,49292,Senior Staff
10512,Udi Gihr,1998-11-28,40000,Senior Staff
10517,Tiina Speek,1990-12-25,65330,Senior Staff
10522,Marke Cesareni,1995-12-12,40000,Senior Staff
10529,Ymte Yetto,1997-07-04,47840,Assistant Engineer
10531,Oguz Gimbel,1995-03-16,49168,Staff
10542,Yannis Couchot,1992-02-07,40000,Senior Engineer
10548,Ramalingam Gunderson,1993-07-04,90631,Senior Staff
10552,Kazuhito Shiratori,1998-08-31,80483,Senior Engineer
10564,Jianhao Thisen,2000-11-22,46660,Senior Engineer
10568,Gao Poulakidas,1995-07-08,64356,Staff
10586,Kirk Vuskovic,2000-02-04,47541,Senior Engineer
10593,Falguni Kenevan,1999-09-12,71435,Senior Engineer
10596,Sanjit Coors,2001-05-23,58689,Senior Staff
10603,Wayne Restivo,1995-07-20,101271,Staff
10610,Irena Roccetti,1997-03-30,49812,Engineer
10614,Gila Ozeri,1998-03-03,40000,Senior Engineer
10615,Keung Delgrande,2002-03-10,43533,Senior Staff
10623,Aleksander Danlos,1999-01-15,60268,Senior Engineer
10624,Sham Gyorkos,1990-05-07,40000,Technique Leader
10628,Krisda Krogh,2001-03-14,41650,Senior Engineer
10630,Bezalel Katzenelson,1997-01-13,40000,Engineer
10631,Inderjeet Chaudhuri,1994-10-18,40000,Engineer
10634,Nahid Chepyzhov,2000-11-10,45179,Senior Engineer
10636,Saeko Porotnikoff,1996-09-25,40904,Staff
10639,Pramod Erol,1999-10-26,46291,Senior Engineer
10641,Guozhong Zucker,1999-03-21,41785,Engineer
10642,Hirochika Narlikar,1998-10-05,40000,Engineer
10653,Otmar Feinberg,1987-04-30,40000,Senior Engineer
10667,Makato Cusworth,1999-07-28,40000,Senior Staff
10671,Parviz Rebaine,2001-09-13,74037,Senior Staff
10676,Valeri Danley,1999-09-04,58226,Engineer
10693,Berhard Daescu,1991-01-08,40000,Senior Staff
10696,Unal Fendler,1991-09-09,68913,Technique Leader
10702,Bader Szemeredi,1991-01-14,46581,Senior Engineer
10712,Uma Koprowski,2001-08-18,40000,Senior Engineer
10718,Adib Rullman,1997-07-21,75473,Senior Engineer
10726,Zita Minakawa,2001-02-24,46315,Senior Engineer
10734,Sachar Erdi,1995-12-19,47377,Engineer
10741,Sven Huttel,1997-01-06,50265,Senior Staff
10742,Shim Wiegley,1997-04-03,67405,Technique Leader
10745,Poorav Ranze,1997-01-22,40000,Senior Engineer
10749,King Brendel,1990-09-26,60829,Senior Engineer
10750,Roddy Demeyer,1998-11-06,40000,Technique Leader
10764,Yunming Beetstra,1998-11-27,70720,Senior Engineer
10767,Monique Doering,1997-07-15,40651,Staff
10768,Ishfaq Candan,1990-07-04,65717,Senior Engineer
10778,Selwyn Merey,1986-07-04,64996,Senior Staff
10791,Tadahiko Sgarro,1995-07-31,40000,Senior Engineer
10795,Supot Naudin,1999-05-03,84206,Senior Staff
10808,Chenxi Leijenhorst,1987-03-07,40000,Senior Engineer
10811,Ashish Fortenbacher,1997-07-08,40000,Engineer
10813,Shalesh Shumilov,1990-04-27,53246,Senior Staff
10814,Nidapan Dymetman,1998-07-17,59378,Senior Staff
10826,Arnd Anandan,1993-01-22,59506,Senior Engineer
10827,Willard Danley,1996-11-07,58322,Staff
10830,Fen Fiebach,1997-08-23,47420,Senior Staff
10831,Toong Driscoll,1998-02-22,82330,Technique Leader
10833,Krisda Gecseg,1998-12-23,40000,Technique Leader
10834,Huiqun Rajcani,1999-11-24,53869,Engineer
10835,Tomoyuki Kermarrec,1995-08-22,40000,Engineer
10836,Jianhua Leivant,1987-08-10,65502,Senior Staff
10844,Dipayan Koprowski,1997-04-25,40000,Engineer
10846,Tokuyasu Serre,1995-01-17,40000,Senior Engineer
10847,Theirry Danley,1992-07-24,40000,Senior Staff
10848,Fen Bratsberg,1992-04-20,50475,Senior Engineer
10849,Makato Mayerwieser,2001-06-24,66065,Engineer
10854,Jagoda Nannarelli,1998-07-13,40000,Engineer
10858,Kenroku Gonthier,2002-01-01,47847,Senior Engineer
10871,Aram Gilg,1999-06-16,40000,Staff
10872,Karoline Speel,1996-09-05,40000,Senior Staff
10873,Sukumar Wegerle,1994-03-23,65835,Staff
10878,Lakshmi Deville,1997-04-25,72102,Staff
10879,Muzhong Chleq,1985-08-15,65651,Senior Engineer
10882,Fun Heuser,1999-04-29,40000,Engineer
10883,Shimshon Champarnaud,1996-12-28,40000,Engineer
10885,Rayond Cronau,1991-08-19,78613,Senior Staff
10887,Lunjin DeMori,1989-03-17,69570,Senior Engineer
10900,Ferdinand Prenel,1995-09-07,50054,Senior Engineer
10906,Munehiro Carrere,1998-10-18,66204,Staff
10909,Georgi Atchley,2000-12-26,80935,Senior Engineer
10913,Narain Thummel,1998-10-25,62428,Staff
10920,Ronghao Narahara,1998-02-23,40000,Senior Staff
10921,Mara Bahi,1995-07-27,72601,Senior Engineer
10924,Hironoby Atchley,1997-08-14,84783,Senior Staff
10926,Leni Eppinger,1995-04-30,43219,Senior Engineer
10927,Gal Scallan,1993-09-12,51819,Senior Staff
10930,Arch Minakawa,1998-11-22,53785,Senior Engineer
10932,Avishai Picci,1999-09-09,40000,Senior Engineer
10936,Mountaz Schicker,1996-05-08,40000,Senior Staff
10942,Toshimitsu Larfeldt,1996-01-21,40000,Engineer
10943,Berna Skafidas,1999-05-22,45890,Senior Engineer
10944,Remko Zyda,1995-09-07,42872,Senior Engineer
10947,Gor Usery,2001-11-15,43068,Senior Staff
10949,Shigeichiro Wroclawski,1996-06-28,58253,Senior Staff
10956,Arno Picel,1995-12-02,40000,Engineer
10965,Eckart Braunschweig,1986-07-29,61654,Senior Staff
10969,Premal Noriega,1994-05-12,40000,Senior Engineer
10974,Muneo Papsdorf,1999-05-17,56005,Senior Engineer
10986,Masako Schiper,1985-10-11,43900,Technique Leader
10988,Chinya Deyuan,1985-06-19,54174,Senior Engineer
10989,Sumali Candan,1991-07-20,46406,Senior Staff
10990,Shin Foote,1990-08-06,40000,Technique Leader
10996,Matk Rahimi,1996-02-07,43564,Senior Staff
11004,JoAnna Decleir,1998-01-18,40226,Senior Engineer
11009,Alper Axelband,1993-09-09,75111,Senior Staff
11012,Taegyun Speckmann,1996-07-06,72092,Staff
11019,Leon Huttel,1997-05-24,69387,Senior Engineer
11021,Srinidhi Henders,1998-02-02,62670,Staff
11027,Remzi Cappello,1996-05-06,40000,Senior Engineer
11031,Ottavia Walstra,1993-10-24,71654,Senior Staff
11032,Erez Schaaf,1994-06-06,40000,Staff
11037,Lansing Maliniak,1995-01-28,40000,Senior Engineer
11038,Jinya Beidas,1992-07-15,44993,Senior Staff
11042,Gou Breugel,2000-06-21,40000,Senior Engineer
11048,Jaques Demke,1999-05-27,65697,Senior Staff
11050,Elvis Katiyar,1991-05-06,52251,Senior Staff
11051,Przemyslawa Erol,2000-03-26,40000,Senior Engineer
11056,Palash Speel,1997-07-01,79354,Staff
11061,Pintsang Erni,2002-02-19,81257,Senior Staff
11064,Shawna Vieri,2002-02-27,48411,Senior Engineer
11066,Shaz Langford,1996-04-30,53496,Senior Staff
11070,Adib Raney,1991-07-24,40000,Senior Engineer
11071,Kwan Sigstam,2001-05-23,40000,Senior Engineer
11075,Karsten Belinskaya,1998-05-06,76877,Senior Engineer
11079,Piyush Garigliano,2001-05-26,46239,Senior Engineer
11081,Barry Boyle,1994-06-17,65686,Senior Staff
11083,Shimshon Ducloy,2000-10-04,90972,Senior Staff
11084,Greger Senzako,1999-05-31,52121,Senior Engineer
11085,Hailing Thummel,1996-02-10,66437,Senior Engineer
11087,Changho Jayawardene,1998-03-18,78081,Senior Engineer
11089,Conal Henders,1994-08-13,41004,Senior Staff
11091,Souichi Ramsay,1999-09-11,76253,Engineer
11092,Narain Stamatiou,1999-04-05,78588,Staff
11098,Arnd Covnot,1997-01-08,40000,Engineer
11100,Berna Cochrane,1993-10-13,40000,Senior Staff
11106,Aris Iwayama,1997-08-30,71446,Senior Engineer
11111,Udi Zastre,1994-12-25,49777,Assistant Engineer
11112,Boaz Mukaidono,1995-04-28,40000,Staff
11113,Shahab Peng,1991-11-30,66401,Senior Staff
11121,Vugranam Kakkad,1999-11-01,40000,Senior Engineer
11130,Xinyu Menhoudj,1997-02-17,43172,Senior Staff
11132,Kristin Harnett,1999-08-30,40000,Senior Engineer
11133,Nalini Azulay,1994-03-06,40000,Technique Leader
11134,Sachar Rajcani,2002-05-19,58731,Senior Engineer
11137,Hugh Luca,1995-03-16,40000,Engineer
11143,Yongdong Rosen,1996-05-09,63264,Engineer
11144,Carrsten Heinisuo,2002-07-19,56144,Senior Staff
11146,Ishfaq Masand,1997-08-21,96019,Senior Staff
11147,Ayonca Nitsch,1997-12-04,40000,Engineer
11148,Zhanqiu Botman,1997-02-08,56344,Senior Staff
11158,Masaki Hagimont,2002-04-20,40000,Senior Engineer
11162,Kauko Narlikar,1990-03-28,69873,Senior Engineer
11168,Shmuel Tetzlaff,2001-07-15,72944,Senior Staff
11170,Minghong Cannard,1990-06-20,44531,Senior Engineer
11174,Akhilish Milicia,1999-06-07,45806,Engineer
11177,Chrisa dAstous,1999-09-11,40000,Senior Engineer
11180,Mitsuyuki Bojadziev,1992-06-10,40000,Senior Engineer
11181,Hausi Cullers,1997-11-03,40000,Engineer
11185,Aloys Baezner,2000-01-26,40000,Senior Staff
11186,Kshitij Stasinski,2000-12-09,40000,Senior Engineer
11189,Dante Bodoff,1991-09-07,71798,Senior Staff
11192,Apostol Bahr,1998-04-07,40000,Engineer
11197,Tadahiro Fordan,1989-09-12,88741,Senior Staff
11201,Jouko Masaki,1995-10-31,49454,Staff
11204,Diederik Covnot,1985-09-18,40000,Technique Leader
11207,Saeed Gips,1999-01-31,49728,Engineer
11211,Yurij Rissland,1985-09-17,72668,Senior Engineer
11213,Vugranam Munoz,1999-02-04,40000,Technique Leader
11217,Kellie Mawatari,1990-03-11,40000,Senior Engineer
11229,Gretta Ramamoorthy,2000-07-25,48214,Senior Engineer
11232,Hidefumi Crelier,2000-08-01,43863,Senior Staff
11233,Sanjit Waschkowski,1998-12-14,46070,Senior Engineer
11240,Kiam Condotta,1997-01-06,61739,Engineer
11243,Udi Desikan,2000-01-20,47598,Assistant Engineer
11249,Randi Cyre,1994-09-22,43324,Engineer
11253,Koldo Pokrovskii,2000-05-22,40000,Senior Engineer
11254,Danel Rindone,1998-12-19,50562,Staff
11258,Aris Maccarone,1998-03-28,40000,Senior Staff
11266,Florina Rohrbach,2002-05-12,40000,Senior Engineer
11267,Shaunak Zaumen,1996-04-09,65990,Senior Engineer
11268,Aimee Petersohn,1995-10-25,40000,Senior Engineer
11274,Masanao Nicolson,1999-12-13,40000,Staff
11275,Hitomi Eppinger,1998-04-25,58382,Senior Engineer
11289,Chuanti Cherinka,1996-02-23,40000,Senior Engineer
11290,Visit Dredge,1999-05-13,65034,Engineer
