emp_no,title,from_date,salary,fullname
10001,Senior Engineer,1986-06-26,60117,Georgi Facello
10194,Senior Staff,2002-02-14,64941,Josyula Hofmeyr
10196,Staff,1999-01-31,86671,Marc Hellwagner
10198,Senior Engineer,1993-08-31,44076,Pranav Furedi
10203,Senior Staff,1995-04-06,40000,Steen Escriba
10205,Senior Engineer,1993-08-23,40000,Mabhin Leijenhorst
10207,Senior Engineer,1997-10-11,52783,Girolamo Anandan
10215,Senior Staff,1991-11-23,43944,Xiaobin Duclos
10219,Senior Staff,1993-03-31,40000,Genta Kolvik
10224,Senior Engineer,1996-01-09,40000,Leon Trogemann
10228,Senior Staff,1998-12-22,79474,Karoline Cesareni
10230,Senior Staff,2002-06-16,47531,Clyde Vernadat
10233,Senior Staff,2000-04-28,40000,Lein Vendrig
10239,Staff,1996-05-04,65146,Nikolaos Llado
10240,Engineer,1998-10-06,73874,Remko Maccarone
10248,Senior Staff,1997-08-12,58918,Frederique Tempesti
10249,Senior Engineer,2000-12-07,72192,Marie Boreale
10258,Senior Engineer,1997-05-16,66280,Basil Ishibashi
10262,Staff,1996-01-22,63005,Mahendra Maraist
10272,Staff,1997-10-23,58070,Yishai Cannane
10281,Senior Engineer,2000-12-02,46123,Moty Kusakari
10282,Engineer,2001-05-02,40000,Hercules Benzmuller
10283,Senior Engineer,1995-05-26,40000,Kauko Birjandi
10284,Engineer,1999-07-06,40000,Masali Murrill
10295,Senior Staff,2000-06-18,46398,Kristine Velardi
10298,Staff,1999-04-27,40000,Dietrich DuCasse
10306,Staff,1993-09-06,44229,Heng Kilgour
10307,Engineer,1999-10-16,40000,Nikolaos Leaver
10322,Senior Engineer,1997-01-29,41968,Isamu Dahlbom
10325,Senior Staff,1990-09-20,44325,Arunachalam Badr
10326,Staff,1998-09-02,40000,Masali Czap
10328,Engineer,1998-07-17,46286,Serenella Kawashima
10333,Senior Engineer,1998-01-16,45141,Snehasis Dymetman
10340,Senior Staff,1993-03-30,68132,Djelloul Laventhal
10343,Senior Engineer,1997-10-03,40000,Dinah Syrzycki
10347,Staff,1998-02-20,42199,Pradeep Kaminger
10349,Senior Staff,1997-09-27,47518,Oksana Brodie
10353,Senior Staff,1989-08-24,62656,Phule Hammerschmidt
10355,Staff,1996-01-26,70434,Satyanarayana Cochrane
10356,Senior Staff,1995-06-26,45376,Vasilis Standera
10358,Technique Leader,1991-02-19,63243,Qunsheng Tagansky
10364,Senior Engineer,1985-11-14,51401,Nakhoon Dengi
10367,Senior Staff,2000-06-23,63565,Hyuckchul Gini
10372,Technique Leader,1985-07-30,54505,Anneli Frijda
10377,Senior Engineer,1996-08-24,40000,Marl Grospietsch
10387,Senior Staff,1999-01-07,61374,Parto Wrigley
10388,Staff,1999-05-28,62545,Hironoby Kaiser
10389,Technique Leader,1999-05-13,55548,Make Peir
10396,Senior Engineer,1986-01-11,40393,Sibyl Rahier
10397,Technique Leader,1993-05-21,40529,Irena Reutenauer
10402,Technique Leader,1987-01-02,40000,Volkmar Ebeling
10404,Senior Engineer,1996-08-28,51647,Prodip Rosti
10407,Senior Staff,1999-10-30,62565,Ulf Siepmann
10413,Senior Staff,1997-12-26,45416,Danel Impagliazzo
10418,Staff,1996-10-04,52224,Candida Porotnikoff
10422,Engineer,1995-01-03,45725,Greger Rubsam
10426,Technique Leader,1985-07-06,65757,Arunas Luce
10429,Senior Engineer,1988-09-23,40000,Martien Improta
10432,Senior Staff,1996-08-12,40000,Hisao Tiemann
10433,Engineer,1999-11-27,40000,Reuven Dengi
10451,Senior Engineer,1998-03-12,46275,Bodh Ranta
10453,Senior Staff,1993-04-02,40000,Tsvetan Matzel
10463,Staff,1994-02-17,66480,Ung Zaiane
10477,Senior Engineer,2002-05-26,55138,Guoxiang Trogemann
10486,Senior Engineer,1996-10-07,71692,Amstein Kossowski
10494,Senior Engineer,2000-12-17,50094,Yakkov Servieres
10497,Senior Engineer,1999-01-22,63707,Pramod Rabehasaina
10499,Senior Staff,2001-07-31,40000,Maik Luft
10503,Engineer,1997-03-13,40000,Dannz Pell
10504,Staff,1999-10-19,43931,Xiong Varker
10509,Senior Staff,1997-10-06,49292,Abdelwaheb Riesenhuber
10512,Senior Staff,1998-11-28,40000,Udi Gihr
10517,Senior Staff,1990-12-25,65330,Tiina Speek
10522,Senior Staff,1995-12-12,40000,Marke Cesareni
10529,Assistant Engineer,1997-07-04,47840,Ymte Yetto
10531,Staff,1995-03-16,49168,Oguz Gimbel
10542,Senior Engineer,1992-02-07,40000,Yannis Couchot
10548,Senior Staff,1993-07-04,90631,Ramalingam Gunderson
10552,Senior Engineer,1998-08-31,80483,Kazuhito Shiratori
10564,Senior Engineer,2000-11-22,46660,Jianhao Thisen
10568,Staff,1995-07-08,64356,Gao Poulakidas
10586,Senior Engineer,2000-02-04,47541,Kirk Vuskovic
10593,Senior Engineer,1999-09-12,71435,Falguni Kenevan
10596,Senior Staff,2001-05-23,58689,Sanjit Coors
10603,Staff,1995-07-20,101271,Wayne Restivo
10610,Engineer,1997-03-30,49812,Irena Roccetti
10614,Senior Engineer,1998-03-03,40000,Gila Ozeri
10615,Senior Staff,2002-03-10,43533,Keung Delgrande
10623,Senior Engineer,1999-01-15,60268,Aleksander Danlos
10624,Technique Leader,1990-05-07,40000,Sham Gyorkos
10628,Senior Engineer,2001-03-14,41650,Krisda Krogh
10630,Engineer,1997-01-13,40000,Bezalel Katzenelson
10631,Engineer,1994-10-18,40000,Inderjeet Chaudhuri
10634,Senior Engineer,2000-11-10,45179,Nahid Chepyzhov
10636,Staff,1996-09-25,40904,Saeko Porotnikoff
10639,Senior Engineer,1999-10-26,46291,Pramod Erol
10641,Engineer,1999-03-21,41785,Guozhong Zucker
10642,Engineer,1998-10-05,40000,Hirochika Narlikar
10653,Senior Engineer,1987-04-30,40000,Otmar Feinberg
10667,Senior Staff,1999-07-28,40000,Makato Cusworth
10671,Senior Staff,2001-09-13,74037,Parviz Rebaine
10676,Engineer,1999-09-04,58226,Valeri Danley
10683,Senior Engineer,1997-06-23,40000,Guiseppe Stranks
10004,Senior Engineer,1995-12-01,40054,Chirstian Koblick
10693,Senior Staff,1991-01-08,40000,Berhard Daescu
10696,Technique Leader,1991-09-09,68913,Unal Fendler
10005,Senior Staff,1996-09-12,78228,Kyoichi Maliniak
10006,Senior Engineer,1990-08-05,40000,Anneke Preusig
10702,Senior Engineer,1991-01-14,46581,Bader Szemeredi
10009,Senior Engineer,1995-02-18,60929,Sumant Peac
10018,Senior Engineer,1995-04-03,55881,Kazuhide Peha
10712,Senior Engineer,2001-08-18,40000,Uma Koprowski
10718,Senior Engineer,1997-07-21,75473,Adib Rullman
10726,Senior Engineer,2001-02-24,46315,Zita Minakawa
10734,Engineer,1995-12-19,47377,Sachar Erdi
10741,Senior Staff,1997-01-06,50265,Sven Huttel
10742,Technique Leader,1997-04-03,67405,Shim Wiegley
10745,Senior Engineer,1997-01-22,40000,Poorav Ranze
10749,Senior Engineer,1990-09-26,60829,King Brendel
10750,Technique Leader,1998-11-06,40000,Roddy Demeyer
10764,Senior Engineer,1998-11-27,70720,Yunming Beetstra
10767,Staff,1997-07-15,40651,Monique Doering
10768,Senior Engineer,1990-07-04,65717,Ishfaq Candan
10778,Senior Staff,1986-07-04,64996,Selwyn Merey
10791,Senior Engineer,1995-07-31,40000,Tadahiko Sgarro
10795,Senior Staff,1999-05-03,84206,Supot Naudin
10019,Staff,1999-04-30,44276,Lillian Haddadi
10020,Engineer,1997-12-30,40000,Mayuko Warwick
10808,Senior Engineer,1987-03-07,40000,Chenxi Leijenhorst
10022,Engineer,1999-09-03,40000,Shahaf Famili
10811,Engineer,1997-07-08,40000,Ashish Fortenbacher
10023,Engineer,1999-09-27,47883,Bojan Montemayor
10813,Senior Staff,1990-04-27,53246,Shalesh Shumilov
10814,Senior Staff,1998-07-17,59378,Nidapan Dymetman
10026,Senior Engineer,2001-03-19,47585,Yongqiao Berztiss
10035,Senior Engineer,1996-09-05,41538,Alain Chappelet
10826,Senior Engineer,1993-01-22,59506,Arnd Anandan
10827,Staff,1996-11-07,58322,Willard Danley
10830,Senior Staff,1997-08-23,47420,Fen Fiebach
10831,Technique Leader,1998-02-22,82330,Toong Driscoll
10047,Senior Engineer,1998-03-31,54982,Zvonko Nyanchama
10833,Technique Leader,1998-12-23,40000,Krisda Gecseg
10834,Engineer,1999-11-24,53869,Huiqun Rajcani
10835,Engineer,1995-08-22,40000,Tomoyuki Kermarrec
10836,Senior Staff,1987-08-10,65502,Jianhua Leivant
10844,Engineer,1997-04-25,40000,Dipayan Koprowski
10051,Senior Engineer,1998-10-15,48817,Hidefumi Caine
10846,Senior Engineer,1995-01-17,40000,Tokuyasu Serre
10053,Senior Staff,1994-11-13,67854,Sanjiv Zschoche
10057,Senior Engineer,2000-01-15,49616,Ebbe Callaway
10847,Senior Staff,1992-07-24,40000,Theirry Danley
10848,Senior Engineer,1992-04-20,50475,Fen Bratsberg
10849,Engineer,2001-06-24,66065,Makato Mayerwieser
