emp_no,title,fullname,from_date_and_to_date
10095,Senior Staff,Hilari Morton,2000-03-09 and 9999-01-01
10095,Staff,Hilari Morton,1994-03-10 and 2000-03-09
10122,Technique Leader,Ohad Esposito,1998-08-06 and 9999-01-01
10291,Senior Staff,Dipayan Seghrouchni,1994-03-30 and 9999-01-01
10291,Staff,Dipayan Seghrouchni,1987-03-30 and 1994-03-30
10476,Senior Staff,Kokou Iisaka,1994-09-20 and 9999-01-01
10476,Staff,Kokou Iisaka,1987-09-20 and 1994-09-20
10663,Technique Leader,Teunis Noriega,1993-01-23 and 9999-01-01
10762,Senior Staff,Lech Himler,1999-01-21 and 9999-01-01
10762,Staff,Lech Himler,1992-01-21 and 1999-01-21
10933,Senior Engineer,Juyoung Seghrouchni,1993-08-02 and 9999-01-01
12155,Engineer,Keiichiro Glinert,1993-09-16 and 2001-09-16
12155,Senior Engineer,Keiichiro Glinert,2001-09-16 and 9999-01-01
12408,Senior Engineer,Rasiah Sudkamp,1995-04-18 and 9999-01-01
12643,Staff,Morrie Schurmann,1998-12-31 and 9999-01-01
13499,Technique Leader,Kazuhiko Sidou,1991-09-01 and 9999-01-01
14075,Assistant Engineer,Denny Tchuente,1991-05-30 and 1998-05-30
14075,Engineer,Denny Tchuente,1998-05-30 and 9999-01-01
14104,Senior Staff,Sudhanshu Demian,1999-07-23 and 9999-01-01
14104,Staff,Sudhanshu Demian,1994-07-23 and 1999-07-23
14127,Engineer,Magdalena Cannard,1994-04-22 and 2002-04-22
14127,Senior Engineer,Magdalena Cannard,2002-04-22 and 9999-01-01
14158,Senior Staff,Caolyn Setiz,1996-02-06 and 9999-01-01
14158,Staff,Caolyn Setiz,1990-02-06 and 1996-02-06
14476,Engineer,Sastry Marrevee,1999-09-25 and 9999-01-01
14907,Senior Staff,Nakhoon Luga,1994-12-18 and 9999-01-01
14907,Staff,Nakhoon Luga,1986-12-18 and 1994-12-18
15050,Engineer,Nikolaos Kruskal,1990-12-17 and 1996-12-16
15050,Senior Engineer,Nikolaos Kruskal,1996-12-16 and 9999-01-01
15058,Senior Staff,Bouchung Bugrara,1998-06-18 and 9999-01-01
15058,Staff,Bouchung Bugrara,1990-06-18 and 1998-06-18
15413,Engineer,Arvin Rabejac,1994-01-01 and 2002-01-01
15413,Senior Engineer,Arvin Rabejac,2002-01-01 and 9999-01-01
